singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
jR3l0HcE3i,0.0,0.0,905.2560000000001,922.0,6.096,1,csFaf3pVCX,Hiking,3ATrXJwjxh,2019-08-29,fake_id_651
z3On32OJkp,230.0,5.0,0.0,0.0,0.0,2,V24b7hwFLS,Tricep Dip,8710iVSrkV,2017-08-08,fake_id_652
OpZ0bQBhDk,5.0,12.0,0.0,0.0,0.0,2,ecGi1Rm40N,Freemotion Shoulder Press,fLWS8urOeY,2018-07-23,fake_id_653
fUFDxaLxl5,185.0,10.0,0.0,0.0,0.0,2,fssoNBJGr8,Smith Machine Behind the Back Shrug,HpjbkJevZp,2017-07-02,fake_id_652
cLXsHcJvH6,50.0,8.0,0.0,0.0,0.0,3,SZDO2A4M0Z,EZ-Bar Skullcrusher,sY1qILXlXr,2017-07-17,fake_id_652
DuUg1nv4Wd,125.0,8.0,0.0,0.0,0.0,2,B2AE7F821l,Smith Machine Bent Over Row,NNEXoHC8Uq,2017-04-28,fake_id_652
pH1xzwOLSf,55.0,10.0,0.0,0.0,0.0,2,1Ova48phvR,Palms-Down Barbell Wrist Curl,RiFhAYyuBu,2017-06-24,fake_id_651
Tj5r8cTPNI,145.0,8.0,0.0,0.0,0.0,4,HbPWapoVoA,Smith Machine Bench Press,iCZJNtc82H,2017-05-19,fake_id_652
NQgVzIqruh,45.0,12.0,0.0,0.0,0.0,3,8Qi94uQhXF,Palms-Down Dumbbell Wrist Curl,pJ900yJ9gZ,2017-05-04,fake_id_652
Movepe26lz,20.0,10.0,0.0,0.0,0.0,3,7h4ASsCAf4,Lateral Raise,fWHRlm61Ys,2017-06-18,fake_id_652
Io0wWZsRad,209.0,5.0,0.0,0.0,0.0,1,TA1D5CzYrN,Inverted Row,qQvRQlvLjF,2017-07-05,fake_id_651
RWZnMqeura,35.0,10.0,0.0,0.0,0.0,1,M9CKjaXsKM,Front Plate Raise,N2DYFiJ8qS,2017-05-28,fake_id_652
nz2nucdRuE,50.0,12.0,0.0,0.0,0.0,2,QGThNqjcX2,Shotgun Row,6c2K2BboEr,2017-06-14,fake_id_652
nFAq2sVzxE,35.0,15.0,0.0,0.0,0.0,1,TVqRaD65Rh,Palms-Up Dumbbell Wrist Curl,9fbs8eiFyb,2017-07-06,fake_id_652
Hyg0CUu3I8,125.0,5.0,0.0,0.0,0.0,5,jyBEpCVv8y,Palms-Up Barbell Wrist Curl,1RIIzNCfJq,2017-06-19,fake_id_651
a3sL27QcO9,165.0,8.0,0.0,0.0,0.0,4,afARvXCTi6,Smith Machine Bench Press,ahX1QCfanF,2017-07-03,fake_id_652
8GJWZhYB8Y,22.5,10.0,0.0,0.0,0.0,4,pRd7e7yGKe,Single Leg Cable Kickback,zxxqVxvO9A,2017-04-27,fake_id_652
sexeJBfMvq,30.0,5.0,0.0,0.0,0.0,12,pFIeCj6VBk,Palms-Up Dumbbell Wrist Curl,52tWnbq7xq,2017-06-06,fake_id_652
uj3yfB53BB,25.0,15.0,0.0,0.0,0.0,1,zDyWLyjOiF,Ab Crunch Machine,Cfi8PqnRzF,2019-01-26,fake_id_653
mJDvwYe1jp,3.855539730202938,5.0,0.0,0.0,0.0,4,likGAIlSfw,Iron Cross,fDf02dXg0x,2019-07-20,fake_id_654
QGI1qn1VYq,10.659433371737533,12.0,0.0,0.0,0.0,3,1Oy5FvHUAi,Single Arm Floor Press,VKO82Y9y76,2019-08-22,fake_id_654
rd80FZ3nJq,24.94761001896019,10.0,0.0,0.0,0.0,3,zZcF0DG7BB,Landmine Core Rotation,SQHEwpwBAq,2019-07-18,fake_id_655
fBy9paIMLt,0.0,10.0,0.0,0.0,0.0,3,CQADQ6kIZB,Parallel Bar Dip,22t4WW7aaf,2019-03-04,fake_id_656
07aUH8M7hd,0.0,22.0,0.0,0.0,0.0,1,iKqt5pMiwz,Decline Reverse Crunch,FoNHYKAWXV,2019-04-08,fake_id_654
Jw9f8yj0UG,0.0,3.0,0.0,0.0,0.0,5,emJ003Nhhf,Chin Up,I9WHWVpxCX,2019-05-13,fake_id_653
QwgB8XQQ6w,24.94761001896019,8.0,0.0,0.0,0.0,1,g9e7ftRIh6,Landmine Squat to Press,q6riYB5vC6,2019-09-10,fake_id_657
WFHhBSt5QW,38.55539730202938,8.0,0.0,0.0,0.0,1,hNTEIb3hdu,Ab Crunch Machine,56TmIYqaxJ,2018-07-10,fake_id_658
5ib5wYKdiA,9.071858188712797,12.0,0.0,0.0,0.0,3,WG7UbaazSG,Kettlebell Overhead Press,q6riYB5vC6,2019-09-10,fake_id_657
vvMounCEna,12.5,8.0,0.0,0.0,0.0,4,4fRpaNSgKi,Smith Machine Bench Press,TOO7PXKWap,2019-07-06,fake_id_659
Vzyi6X02oS,4.535929094356399,10.0,0.0,0.0,0.0,2,92xSSqpe0A,Incline Hammer Curl,oOZIPYRfyX,2019-07-24,fake_id_660
t5V9NW3LAj,5.443114913227677,7.0,0.0,0.0,0.0,2,iV30rV78FE,Incline Hammer Curl,suPk7zs8xe,2019-02-06,fake_id_657
zPjNgZUWYB,13.607787283069193,10.0,0.0,0.0,0.0,2,Aqnqj7KQrH,Incline Barbell Skull Crusher,uHsSxgA9vB,2018-10-30,fake_id_661
H8Gy4gJChG,6.8038936415345965,15.0,0.0,0.0,0.0,3,bQranWJBZ2,Dumbbell Step Up,2M2GYsUsaI,2019-03-17,fake_id_662
KmTQo4e0bn,6.123504277381136,6.0,0.0,0.0,0.0,4,b4mFZOEI0x,Svend Press,xHgPTIZ0Md,2019-07-09,fake_id_654
9nzeIbaFfg,0.0,0.0,2530.0,1020.0,0.0,1,Sdi8whRhgr,Running - Treadmill,xFEjxkvw4H,2019-04-06,fake_id_663
v0zidvsM43,13.607787283069193,15.0,0.0,0.0,0.0,1,eTHOIIFQ3C,Cable Tricep Pushdown,EuLGpo2WYy,2018-06-13,fake_id_658
hMKLQ19tRC,0.0,15.0,0.0,0.0,0.0,2,XSGLZ5lDQF,Tuck Jump,qYGJFjxouu,2018-12-21,fake_id_653
MEyS5VfENM,63.50300732098956,6.0,0.0,0.0,0.0,2,WV1lMSMV9x,Seated Cable Row,RAh9BF5bBv,2019-06-18,fake_id_664
